时间,模型,vocab,split,imgsz,conf,图像数,GT框数,mAP50-95,mAP50,precision,recall,主要类别数,主要类mAP50,主要类mAP50-95,主要类P,主要类R,标签口径,类别明细
2026-09-14 00:15,yolov8x-worldv2.pt,dataset,all,640,0.001,121,562,0.0592,0.0891,0.6027,0.0924,4,0.3778,0.2516,0.5613,0.3929,原始标签,YOLO-World-Monitoring-System(n=4):0.0; bottle(n=2):0.0; box(n=4):0.0; bus(n=135):0.0246; car(n=227):0.572; chair(n=1):0.0; dog(n=1):0.0; door(n=1):0.0; fridge(n=1):0.0; motorbike(n=157):0.4148; sofa(n=2):0.0029; table(n=1):0.0; trash can(n=1):0.0; tree(n=6):0.0; truck(n=17):0.5; water dispenser(n=1):0.0; well lid(n=1):0.0
2026-09-14 00:15,yolov8x-worldv2.pt,dataset,all,640,0.001,121,558,0.0624,0.094,0.5781,0.0994,4,0.3759,0.2497,0.5623,0.3975,drop:YOLO-World-Monitoring-System,bottle(n=2):0.0; box(n=4):0.0; bus(n=135):0.0253; car(n=227):0.5648; chair(n=1):0.0; dog(n=1):0.0; door(n=1):0.0; fridge(n=1):0.0; motorbike(n=157):0.4178; sofa(n=2):0.0; table(n=1):0.0; trash can(n=1):0.0; tree(n=6):0.0; truck(n=17):0.4957; water dispenser(n=1):0.0; well lid(n=1):0.0
2026-09-14 00:16,yolov8x-worldv2.pt,project,all,640,0.001,121,547,0.0767,0.1155,0.3703,0.1284,4,0.3754,0.2492,0.4534,0.4174,原始标签,car(n=227):0.5731; motorcycle(n=157):0.4158; bus(n=135):0.0246; truck(n=17):0.4881; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 00:17,yolov8x-worldv2.pt,project,all,640,0.001,121,547,0.0852,0.1391,0.3652,0.165,4,0.4522,0.2768,0.4368,0.5363,bus=person,person(n=135):0.3319; car(n=227):0.5731; motorcycle(n=157):0.4158; truck(n=17):0.4881; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 00:17,yolov8m.pt,model,all,640,0.001,121,544,0.1012,0.1613,0.2984,0.1804,4,0.4031,0.253,0.496,0.4511,原始标签,car(n=227):0.6225; motorcycle(n=157):0.4317; bus(n=135):0.0195; truck(n=17):0.5388; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0
2026-09-14 00:17,yolov8m.pt,model,all,640,0.001,121,544,0.118,0.2069,0.3065,0.2346,4,0.5171,0.2949,0.5162,0.5864,bus=person,person(n=135):0.4756; car(n=227):0.6225; motorcycle(n=157):0.4317; truck(n=17):0.5388; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0
2026-09-14 00:18,yolov8x-worldv2.pt,project,all,640,0.2,121,547,0.0745,0.1196,0.2113,0.165,4,0.3887,0.2422,0.4368,0.5363,bus=person,person(n=135):0.303; car(n=227):0.4506; motorcycle(n=157):0.3573; truck(n=17):0.4441; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 00:18,yolov8x-worldv2.pt,project,valid,640,0.001,11,69,0.3173,0.4672,0.3902,0.5479,2,0.6028,0.3901,0.585,0.5958,bus=person,person(n=1):0.0; car(n=31):0.7258; motorcycle(n=35):0.4797; truck(n=2):0.6633
2026-09-14 00:18,yolov8x-worldv2.pt,project,test,640,0.001,6,20,0.388,0.5568,0.3433,0.5245,0,0.0,0.0,0.0,0.0,bus=person,person(n=2):0.5859; car(n=8):0.6667; motorcycle(n=8):0.1464; truck(n=2):0.8283
2026-09-14 01:21,yolov8x-worldv2.pt,dataset,all,640,0.001,121,536,0.1374,0.1966,0.4059,0.1988,4,0.4598,0.2796,0.5181,0.4458,原始标签,person(n=121):0.3623; car(n=227):0.5731; motorcycle(n=157):0.4158; bus(n=3):0.9125; truck(n=17):0.4881; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 01:22,yolov8x-worldv2.pt,project,all,640,0.001,121,536,0.1374,0.1966,0.4059,0.1988,4,0.4598,0.2796,0.5181,0.4458,原始标签,person(n=121):0.3623; car(n=227):0.5731; motorcycle(n=157):0.4158; bus(n=3):0.9125; truck(n=17):0.4881; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 01:22,yolov8m.pt,dataset,all,640,0.001,121,536,0.1403,0.209,0.2463,0.2373,4,0.5299,0.3001,0.5272,0.5805,原始标签,person(n=121):0.5266; car(n=227):0.6225; motorcycle(n=157):0.4317; bus(n=3):0.8064; truck(n=17):0.5388; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 01:23,yolov8m.pt,project,all,640,0.001,121,536,0.1403,0.209,0.2463,0.2373,4,0.5299,0.3001,0.5272,0.5805,原始标签,person(n=121):0.5266; car(n=227):0.6225; motorcycle(n=157):0.4317; bus(n=3):0.8064; truck(n=17):0.5388; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 01:26,yolov8m.pt,project,all,640,0.2,121,536,0.1355,0.201,0.1749,0.2373,4,0.5019,0.2831,0.5272,0.5805,原始标签,person(n=121):0.5074; car(n=227):0.6081; motorcycle(n=157):0.3665; bus(n=3):0.8064; truck(n=17):0.5255; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
2026-09-14 01:27,yolov8m.pt,project,all,1280,0.001,121,536,0.1423,0.2051,0.4001,0.1824,4,0.4689,0.2742,0.5543,0.3884,原始标签,person(n=121):0.2409; car(n=227):0.6727; motorcycle(n=157):0.4826; bus(n=3):0.995; truck(n=17):0.4796; dog(n=1):0.0; bottle(n=2):0.0; chair(n=1):0.0; couch(n=2):0.0; dining table(n=1):0.0; refrigerator(n=1):0.0; water dispenser(n=1):0.0; trash can(n=1):0.0; door(n=1):0.0
